time_s,Cs1_true_pF,Cs2_true_pF,Cs1_fixed_pF,Cs2_fixed_pF,Cs1_NLMS_pF,Cs2_NLMS_pF,Cs1_CVFF_RLS_pF,Cs2_CVFF_RLS_pF
0,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.02,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.04,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.06,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.08,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.1,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.12,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.14,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.16,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.18,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.2,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.22,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.24,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.26,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.28,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.3,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.32,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.34,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.36,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.38,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.4,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.42,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.44,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.46,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.48,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.5,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.52,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.54,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.56,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.58,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.6,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.62,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.64,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.66,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.68,10,10,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752,10.0273786551286,10.039663156752
0.7,10,10,10.0273786551286,10.039663156752,10.0884341207225,10.0480478645107,10.176801987051,10.0601152794913
0.72,10,10,10.0273786551286,10.039663156752,10.0447158329741,10.0571881306363,10.0633349618982,10.0733263547999
0.74,10,10,10.0273786551286,10.039663156752,10.0464037221628,10.0840347503061,10.0608598881564,10.108958607198
0.76,10,10,10.0273786551286,10.039663156752,10.0942861411086,10.1015623269388,10.1196359685468,10.1258879558461
0.78,10,10,10.0273786551286,10.039663156752,10.093688657448,10.1022294449358,10.1141102007246,10.1219130640425
0.8,10,10,10.0273786551286,10.039663156752,10.0920118026782,10.0294196991056,10.1083504585857,10.0400267377229
0.82,10,10,10.0273786551286,10.039663156752,10.0824120447491,10.0336789913635,10.0967193599627,10.0422031057482
0.84,10,10,10.0273786551286,10.039663156752,10.0516437135241,10.0212070999642,10.0678783402527,10.0300839425412
0.86,10,10,10.0273786551286,10.039663156752,10.0373599468171,10.0196699807264,10.0544375633604,10.0276325098868
0.88,10,10,10.0273786551286,10.039663156752,10.07586768538,10.0204598928968,10.080837987736,10.0271500863297
0.9,10,10,10.0273786551286,10.039663156752,10.0469508300069,10.0242075774415,10.0597782728332,10.0289424749111
0.92,10,10,10.0273786551286,10.039663156752,9.98510447378328,10.0045105250117,10.0123408363796,10.0137414917782
0.94,10,10,10.0273786551286,10.039663156752,9.97011434378467,10.0213489356433,9.99854485843656,10.0242619796123
